mqs	sp	4	cn	0	543 338 127 86 58 18 12 12 11 11 11 10 8 8 2 2 1 1 1 1 
mqs	sp	4	cn	1	484 338 238 174 56 38 35 30 21 19 18 17 13 10 7 5 5 4 4 3 3 3 3 2 2 2 1 1 1 1 1 1 
mqs	sp	4	cn	2	452 443 378 349 149 145 53 44 42 15 10 7 6 5 4 3 3 2 2 1 1 1 1 
mqs	sp	4	cn	3	1117 1022 639 417 306 68 46 35 34 29 24 22 20 13 13 12 12 11 8 7 7 6 6 6 6 4 4 4 3 3 2 2 2 2 1 1 1 1 
mqs	sp	4	cn	4	1587 1472 800 532 493 116 75 45 30 29 25 22 19 18 18 17 17 16 13 10 7 4 4 3 3 3 2 2 2 2 2 2 2 1 1 1 1 1 
mqs	sp	4	cn	5	830 481 382 339 272 260 93 82 70 56 54 53 35 32 28 24 22 20 13 12 11 7 7 7 4 3 3 3 3 2 2 2 2 2 2 2 2 2 1 1 1 
mqs	sp	4	sc	6	574 413 94 19 17 16 14 9 9 6 4 2 2 2 2 2 2 1 1 1 1 1 
mqs	sp	4	ap	7	686 578 561 387 381 333 260 190 146 118 108 59 29 24 20 17 15 15 14 12 11 6 6 4 2 2 2 2 2 1 1 1 
mqs	sp	4	xt	8	1223 629 284 239 196 178 162 140 63 61 59 57 53 28 27 25 19 12 11 9 4 4 3 2 1 1 
mqs	sp	4	ap	9	290 105 85 78 68 37 33 31 30 27 17 14 13 11 10 9 7 5 3 3 2 1 1 1 1 
mqs	sp	4	ap	10	302 259 114 95 78 41 38 33 20 17 12 9 8 8 5 2 1 1 1 1 1 1 
mqs	sp	4	xt	11	513 479 178 143 105 101 72 69 52 51 39 36 35 30 21 17 16 12 9 3 1 1 
mqs	sp	4	sc	12	594 86 67 41 31 26 20 17 14 13 11 7 7 6 5 5 5 3 3 3 2 2 2 2 1 
mqs	sp	4	sc	13	1337 150 139 53 44 43 25 23 16 15 12 11 11 11 10 4 3 3 2 1 1 1 1 1 
mqs	sp	4	xt	14	123 88 32 25 23 14 14 13 11 9 8 5 4 2 2 2 2 1 1 
mqs	sp	5	cn	0	543 175 163 127 86 58 18 12 12 11 11 11 10 6 3 3 2 2 1 1 1 1 1 1 1 1 
mqs	sp	5	cn	1	338 255 238 227 174 56 38 35 30 21 15 14 12 11 7 6 5 5 4 4 4 4 3 3 3 3 3 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 
mqs	sp	5	cn	2	452 378 349 232 210 149 145 53 42 42 15 7 7 5 3 3 3 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 
mqs	sp	5	cn	3	1117 1022 375 359 306 253 46 34 30 29 23 22 20 20 19 18 17 16 12 12 11 10 9 8 7 7 7 6 6 6 6 5 5 5 5 4 4 4 4 4 4 3 3 3 3 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 
mqs	sp	5	cn	4	1587 1472 493 473 460 330 69 47 45 43 29 25 25 21 18 17 17 16 16 15 13 13 12 11 10 10 9 9 7 7 7 6 6 5 4 4 3 3 3 3 3 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 
mqs	sp	5	cn	5	830 481 382 252 166 161 108 102 91 63 56 53 51 43 38 35 32 28 25 24 21 18 15 12 10 8 7 7 6 6 5 5 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1 
mqs	sp	5	sc	6	574 413 87 19 16 14 12 9 9 7 6 5 3 2 2 2 2 2 2 1 1 1 1 1 1 
mqs	sp	5	ap	7	578 561 387 381 371 260 200 190 163 146 119 118 110 108 59 51 29 24 20 17 15 15 14 11 10 6 6 4 3 2 2 2 2 2 2 2 1 1 1 
mqs	sp	5	xt	8	1223 345 284 239 196 178 170 162 111 107 63 61 59 57 53 28 27 27 25 19 12 11 9 7 4 4 3 2 2 1 1 
mqs	sp	5	ap	9	290 105 78 44 39 37 33 31 30 29 27 23 17 14 13 11 10 9 9 8 7 5 3 3 2 1 1 1 1 1 
