# BEAST v1.8.4
# Generated Sun Jan 13 09:41:33 OMST 2019 [seed=1547350892005]
# nac1_sfragm_default.xml
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
18000	-238.68573544255307	-0.7406242657043793	-237.94511117684868	0.1890939196501634	0.5113762793544138	2.74866645612657	0.21886875938763545	0.30625336110018486	0.1801445454582248	0.294733334053955	1.0	1.0	-237.94511117684868	0.0	0.741963626905356
19000	-242.2845451728582	-1.0427689280611043	-241.2417762447971	0.29944053429212614	0.25579841110218426	5.793878844107604	0.214151505239441	0.31026747323104037	0.1801445454582248	0.295436476071294	1.0	1.0	-241.2417762447971	0.0	0.67602930362561
20000	-240.3031567672179	-0.8435539745369791	-239.45960279268093	0.22999783117802	0.3892880268341839	4.654601815285361	0.214151505239441	0.3006591534832781	0.18975286520598708	0.295436476071294	1.0	1.0	-239.45960279268093	0.0	0.985521328648236
21000	-242.70882189486278	-1.7231619502691222	-240.98565994459366	0.2612038616768603	0.33323356498636886	5.815799461694532	0.2032115287695428	0.35056743861781314	0.15078455654135023	0.295436476071294	1.0	1.0	-240.98565994459366	0.0	0.26570012719592073
22000	-238.70600870868458	0.9986080639049446	-239.70461677258953	0.20349351978152647	0.22697962371135288	2.725080444826894	0.19974624796838217	0.28436830721092254	0.24838008828222885	0.2675053565384666	1.0	1.0	-239.70461677258953	0.0	1.660295064944164
23000	-240.7526398143696	-0.8094468546733316	-239.94319295969626	0.18371198664677285	0.3910228693002424	4.2209492972003035	0.1838396309201668	0.31141432328392055	0.19773143659296688	0.30701460920294593	1.0	1.0	-239.94319295969626	0.0	0.8956749656462208
24000	-239.26859348096366	-1.1369316256906126	-238.13166185527305	0.22542404377950168	0.39755600266862356	4.659255036388634	0.21730395236027028	0.31141432328392055	0.16469855471472356	0.3065831696410858	1.0	1.0	-238.13166185527305	0.0	0.7145034679209123
25000	-249.4915604387075	-8.21220846748819	-241.2793519712193	0.21009778529170423	2.7394188654750806	4.876677847443086	0.18188886564692905	0.31141432328392055	0.16469855471472356	0.34199825635442704	1.0	1.0	-241.2793519712193	0.0	-4.368604863407036
26000	-238.69939849402004	0.061702803371815995	-238.76110129739186	0.2121353642321663	0.2838301820198297	1.8248482867393783	0.18188886564692905	0.31141432328392055	0.16469855471472356	0.34199825635442704	1.0	1.0	-238.76110129739186	0.0	0.5967200932243751
27000	-240.0713485449034	-0.09262922314411215	-239.97871932175929	0.1783785595215685	0.3288410376282533	2.1032472208840525	0.1717631976153356	0.37319681636843194	0.174824222746317	0.2802157632699156	1.0	1.0	-239.97871932175929	0.0	0.7018108959418317
