# BEAST v1.8.4
# Generated Sun Jan 13 09:46:34 OMST 2019 [seed=1547351194255]
# nac1_sfragm_mod.xml
state	posterior	prior	likelihood	treeModel.rootHeight	exponential.popSize	exponential.growthRate	ac	ag	at	cg	gt	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
31000	-268.8101581796254	-27.058809903499345	-241.751348276126	0.26053218331133554	0.9767073443636987	1.221931816910904	0.6641949180139031	0.9801618974325877	1.2637421130188162	0.06257342406681879	0.007658957347412917	1.0	0.19200614479285938	0.9588802691668309	0.16201767202304385	0.0017595096787662255	-241.751348276126	-16.635532333438686	-0.7973482115702615
32000	-259.6868469022775	-20.566188417440735	-239.12065848483678	0.20477732502096962	0.2236010829301445	1.7502002705174584	0.08021126703438954	0.7241526144436788	0.7934279431008974	0.0787617675307491	0.004921760155621359	1.0	0.11568348878156728	1.0932039495690717	0.04120233314129858	0.08849609117028069	-239.12065848483678	-16.635532333438686	1.4638564764591813
33000	-257.54997171091725	-17.01231852964278	-240.5376531812745	0.1981946992570328	0.497031577163298	0.5764669627040724	0.0013137814270296705	0.753049647584886	0.546941223262522	0.12945600017524436	0.004921760155621359	1.0	0.11054327952442805	0.9718868210694527	0.09698942906987566	-0.16907427707376016	-240.5376531812745	-16.635532333438686	0.8509914766192301
34000	-254.47177155313165	-14.494360576425313	-239.97741097670632	0.2502143264724187	0.645165190370271	0.09168303742647457	1.362845308695073E-4	0.5690762663695567	0.6415898688373355	0.12659635885865164	5.485470932198329E-4	1.0	0.3731665509559079	0.8835046327236107	0.2978863198769632	0.6494475485579094	-239.97741097670632	-16.635532333438686	-0.4404554191934919
35000	-256.263222609742	-13.754266749731741	-242.50895586001027	0.26805486039293247	0.4970906463064884	-0.0684376195262921	2.044656784235347E-4	0.6235026692831769	0.6817620839665868	0.06038015370257485	9.851821888681774E-4	1.0	0.06568199981517665	1.0301372711506351	0.06568343380494712	-0.25697199450463387	-242.50895586001027	-16.635532333438686	-0.5238385030600493
36000	-256.1647638296187	-11.594388000715742	-244.57037582890297	0.273235234364696	0.3342983517985951	-0.24675131533931025	5.968190280215876E-5	1.141219189097622	0.7961774883643378	0.021747312189284333	0.0021543487567044217	1.0	0.021338086478043868	1.0114108367316326	0.022900949572605564	-0.07862487768989153	-244.57037582890297	-16.635532333438686	0.6431907287896855
37000	-259.318800041242	-14.348285987196537	-244.97051405404548	0.2495649025603066	0.40391697416111455	1.0769631991199276	5.968190280215876E-5	1.2474816021343884	0.5152129281545391	0.07420876804622989	0.00677849624474933	1.0	0.15186573662613687	0.9993856437591806	0.15376837313216132	-0.25308363546999046	-244.97051405404548	-16.635532333438686	1.2092626731238176
38000	-258.03375792161694	-16.11032309786439	-241.92343482375253	0.17312870077769643	0.24254134079774575	1.6467817692348932	1.4701509962156286E-4	0.4871579884100335	0.5412671343703352	0.027416469174769306	0.2601717689062778	1.0	0.04022633337777758	0.9895477095238165	0.039660611738547485	0.18170594653765734	-241.92343482375253	-16.635532333438686	1.686621020718739
39000	-260.50315166063973	-19.4919450193796	-241.01120664126012	0.2972866499552083	0.4919409334162845	-0.2160280870968575	8.141954096723889E-4	0.8287329253753434	1.08401546381398	0.017015528614585457	0.1497000434085363	1.0	0.1315178442718913	0.9526130047298604	0.09481287734039723	-0.2034105704129532	-241.01120664126012	-16.635532333438686	-0.2729856277768171
40000	-258.452171684645	-16.075147359399896	-242.3770243252451	0.24141835871768574	0.19619933037617943	-1.5192806943430632	2.6474903359765677E-4	0.31464365626575524	0.2846752839516797	0.010303167194981623	0.21323791290821553	1.0	0.3031257322173805	1.2489580473037858	0.2548456379871653	0.27808459468066354	-242.3770243252451	-16.635532333438686	0.5446389540967663
